participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;23;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;23;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;23;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;24;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;24;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;24;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;24;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;24;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;24;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;24;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;24;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;24;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;24;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;25;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;25;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;25;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;25;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;25;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;25;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;25;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;25;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;25;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;25;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;26;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;26;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;26;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;26;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;26;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;26;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;26;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;26;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;26;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;26;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;27;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;27;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;27;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;27;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;27;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;27;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;27;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;27;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;27;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;27;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;28;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;28;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;28;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;28;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;28;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;28;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;28;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;28;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;28;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;28;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;29;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;29;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;29;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;29;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;29;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;29;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;29;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;29;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;29;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;29;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;30;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;30;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;30;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;30;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;30;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;30;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;30;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;30;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;30;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;30;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;31;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;31;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;31;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;31;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;31;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;31;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;31;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;31;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;31;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;31;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;32;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;32;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;32;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;32;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;32;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;32;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;32;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;32;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;32;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;32;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;33;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;33;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;33;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;33;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;33;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;33;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;33;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;33;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;33;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;33;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;34;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;34;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;34;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;34;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;34;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;34;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;34;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;34;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;34;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;34;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;35;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;35;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;35;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;35;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;35;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;35;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;35;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;35;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;35;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;35;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;36;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;36;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;36;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;36;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;36;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;36;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;36;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;36;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;36;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;36;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;37;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;37;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;37;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;37;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;37;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;37;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;37;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;37;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;37;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;37;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;38;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;38;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;38;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;38;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;38;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;38;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;38;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;38;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;38;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;38;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;39;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;39;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;;;;;0;1;;;39;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;;;;;0;1;;;39;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;;;;;0;1;;;39;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;;;;;0;1;;;39;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;;;;;0;1;;;39;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;;;;;0;1;;;39;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;;;;;0;1;;;39;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;;;;;0;1;;;39;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;;;;;0;1;;;40;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;;;;;0;1;;;40;8p70emi4;;;;;0
